Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
CP-08-00-01,"Establish alternate telecommunications services, including necessary agreements to permit the resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period] when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.",NCO, ,—,,
CP-08-01-00,CP-8(1)  Telecommunications Services | Priority of Service Provisions,NCO, ,—,,
CP-08-01-01,(a) Develop primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives); and,NCO, ,—,,
CP-08-01-02,(b) Request Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness if the primary and/or alternate telecommunications services are provided by a common carrier.,NCO, ,—,,
CP-08-02-00,CP-8(2)  Telecommunications Services | Single Points of Failure,NCO, ,—,,
CP-08-02-01,Obtain alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,NCO, ,—,,
CP-09-00-00,CP-9  System Backup,NCO, ,—,,
CP-09-00-01,a. Conduct backups of user-level information contained in [Assignment: organization-defined system components] [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];,NCO, ,—,,
CP-09-00-02,b. Conduct backups of system-level information contained in the system [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];,NCO, ,—,,
CP-09-00-03,"c. Conduct backups of system documentation, including security- and privacy-related documentation [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; and",NCO, ,—,,
CP-09-00-04,"d. Protect the confidentiality, integrity, and availability of backup information.",NCO, ,—,,
CP-09-01-00,CP-9(1)  System Backup | Testing for Reliability and Integrity,NCO, ,—,,
CP-09-01-01,Test backup information [Assignment: organization-defined frequency] to verify media reliability and information integrity.,NCO, ,—,,
CP-09-08-00,CP-9(8)  System Backup | Cryptographic Protection,CUI,03-08-09:,3.8.9  System Backup – Cryptographic Protection,,
CP-09-08-01,Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of [Assignment: organization-defined backup information].,NCO,03-08-09.,3.8.9. Implement cryptographic mechanisms to prevent the unauthorized disclosure of CUI at backup storage locations.,"Removed ODP to assign ""backup information""; replaced with CUI",
CP-10-00-00,CP-10  System Recovery and Reconstitution,NCO, ,—,,
CP-10-00-01,"Provide for the recovery and reconstitution of the system to a known state within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] after a disruption, compromise, or failure.",NCO, ,—,,
CP-10-02-00,CP-10(2)  System Recovery and Reconstitution | Transaction Recovery,NCO, ,—,,
CP-10-02-01,Implement transaction recovery for systems that are transaction-based.,NCO, ,—,,
IA-01-00-00,IA-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
IA-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only identification and authentication policy)
Removed ODP to assign ""personnel or roles""",
IA-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] identification and authentication policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
IA-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
IA-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
IA-01-00-05,2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only  identification and authentication procedures),
IA-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and",NCO, ,—,,
IA-01-00-07,c. Review and update the current identification and authentication:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only identification and authentication ),
IA-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
IA-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
IA-02-00-00,IA-2  Identification and Authentication (organizational Users),CUI,03-05-01:,"3.5.1  User Identification, Authentication, and Re-Authentication",,
IA-02-00-01,Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users.,CUI,03-05-01a.,"3.5.1a. Uniquely identify and authenticate system users, and associate that unique identification with processes acting on behalf of those users.",,
IA-02-01-00,IA-2(1)  Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,CUI,03-05-03:,3.5.3  Multi-Factor Authentication,,
IA-02-01-01,Implement multi-factor authentication for access to privileged accounts.,CUI,03-05-03.,3.5.3. Implement multi-factor authentication for access to system accounts.,"Changed ""privileged accounts"" to ""system accounts""
Combined multiple control items  IA-2(1), IA-2(2)",
IA-02-02-00,IA-2(2)  Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,CUI,03-05-03:,3.5.3  Multi-Factor Authentication,,
IA-02-02-01,Implement multi-factor authentication for access to non-privileged accounts.,CUI,03-05-03.,3.5.3. Implement multi-factor authentication for access to system accounts.,"Changed ""privileged accounts"" to ""system accounts""
Combined multiple control items  IA-2(1), IA-2(2)",
IA-02-08-00,IA-2(8)  Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,CUI,03-05-04:,3.5.4  Replay-Resistant Authentication,,
IA-02-08-01,Implement replay-resistant authentication mechanisms for access to [Selection (one or more): privileged accounts; non-privileged accounts].,CUI,03-05-04.,3.5.4.Implement replay-resistant authentication mechanisms for access to system accounts.,"Removed ODP to select one or more ""privileged accounts; non-privileged accounts""; changed to ""system accounts""",
IA-02-12-00,IA-2(12)  Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,FED, ,—,,
IA-02-12-01,Accept and electronically verify Personal Identity Verification-compliant credentials.,FED, ,—,,
IA-03-00-00,IA-3  Device Identification and Authentication,CUI,03-05-02:,3.5.2  Device Identification and Authentication,,
IA-03-00-01,Uniquely identify and authenticate [Assignment: organization-defined devices and/or types of devices] before establishing a [Selection (one or more): local; remote; network] connection.,CUI,03-05-02.,3.5.2. Uniquely identify and authenticate [Assignment: organization-defined devices and/or types of devices] before establishing a system or network connection.,"Removed ODP to select one or more ""local; remote; network [connection]""; changed to ""system or network connection""",
IA-04-00-00,IA-4  Identifier Management,CUI,03-05-05:,3.5.5  Identifier Management,,
